Category,Vendor Name,Website,Phone,Contact Person,Service,Capacity/Details,Estimated Cost,Priority,Notes
YACHT VENUE,City Experiences (Hornblower),cityexperiences.com/san-francisco,(415) 788-8866,Corporate Events Team,"Yacht charter, catering, bar service",San Francisco Spirit - 400 guests,"$65-150/person ($56K-$104K total)",PRIMARY,Perfect 400 capacity match. Venn used for Boots on Deck event.
YACHT VENUE,Empress Events,empressevents.com,,Deborah Birmingham (Sales Director),"Luxury yacht charter, private chef",The Empress - 150 guests only,"Custom quote, ~$150-200/person",BACKUP - TOO SMALL,Would need 3 yachts for 400 people. Better for VIP tier.
YACHT VENUE,Luxe Cruises,luxecruises.com,Via website form,,"Luxury yacht charter, corporate events",Various vessels - capacity TBD,Unknown - requires inquiry,BACKUP,Luxury brand positioning. Need to confirm 400+ capacity.
YACHT VENUE,SF Bay Adventures,sfbayadventures.com,,,"Professional yacht charters since 1988",Up to 149 guests per vessel,À la carte and custom packages,BACKUP - TOO SMALL,Multiple smaller vessels available.
MURDER MYSTERY,The Murder Mystery Company,murdermysteryco.com/san-francisco,Via website,,"Interactive murder mystery, actors, scripts","8-12 actors, 3-act show, 2-3 hours","$5,000-$12,000",PRIMARY,Nation's leader in murder mystery entertainment. Scales to large venues.
MURDER MYSTERY,The Dinner Detective,sanfrancisco.thedinnerdetective.com,,,"True crime murder mystery dinner show",Professional cast and production,"$4,500-$10,000 for private 400-person event",SECONDARY,Located at The Marker Hotel. Less costume-intensive than competitors.
MURDER MYSTERY,Epic Immersive,epicimmersive.com,,,Large-scale immersive theatrical experiences,100+ actors capable,"$20,000-$50,000+ for custom production",PREMIUM OPTION,Unparalleled production value. SF-based. 6-9 month lead time.
MURDER MYSTERY,Detour Productions,detour.productions,,Eric Garcia & Kat Gorospe Cole (co-directors),Site-responsive immersive theater,Custom productions,Custom quote - requires inquiry,ALTERNATIVE,Avant-garde immersive work. Queer maximalism focus.
MURDER MYSTERY,The Speakeasy SF,thespeakeasysf.com,,,1920s immersive theatrical experience,Could collaborate on period murder mystery,Custom quote,ALTERNATIVE,Established 1920s immersive show. Could partner for Gatsby-themed mystery.
EVENT PRODUCTION,AVT Productions,avtproductions.com,,,"Corporate event production - AV, staging, lighting",Full-service production,"$8,000-$15,000 for complete package",PRIMARY,Bay Area based. Corporate event specialists.
EVENT PRODUCTION,MEGA Event Production,megaeventproduction.com,,,Event production - audio visual stage & lighting,Conferences and themed events,"$6,000-$12,000",SECONDARY,SF Bay Area company. Experience with special events.
EVENT PRODUCTION,Stage Lights and Sound,stagelightsandsound.com,,,"Full-service: live sound, staging, event lighting, LED walls",Marine/outdoor event experience,"$7,500-$14,000",SECONDARY,Good for yacht events. Portable stage and power distribution.
EVENT PRODUCTION,Impact SF,impactsf.com,,,Event lighting audio & video rentals,Serves all Bay Area cities,Custom quote,BACKUP,Rental equipment focus.
EVENT PRODUCTION,Verducci Event Productions,wearevep.com,,,Audiovisual event production and staging,Corporate and special events,Custom quote,BACKUP,Turn-key AV solutions.
EVENT PRODUCTION,Enhanced Lighting,enhancedlighting.com,,,"Event lighting, drapery, LED walls, custom fabrication",Full event production support,Custom quote,BACKUP,Custom fabrication capabilities.
EVENT PRODUCTION,Owl Vision LLC,owlvisionllc.com,,,"Audio visual production - lighting, audio, video",Corporate events and brand activations,Custom quote,BACKUP,SF event production company.
EVENT PRODUCTION,ON Services,onservices.com/locations/san-francisco-event-production.html,,,Corporate event production services,"1,500+ events annually",Custom quote,BACKUP,Trusted corporate AV provider.
CATERING,City Experiences In-House,cityexperiences.com/san-francisco,Included with yacht,,"Chef-prepared catering, buffet or plated service",Integrated with yacht operations,"$40-150/person (included in yacht pricing)",PRIMARY - INCLUDED,Multiple menu options from apps to plated dinner. Seamless service.
CATERING,KC Catering and Events,kccateringsf.com,,,"Full-service catering and event management",1000+ attendee experience,"$70-$120/person",EXTERNAL OPTION,Large-scale event expertise.
CATERING,Fraiche Catering,fraichecater.com,,,Award-winning gourmet catering,Corporate and themed events,"$65-$110/person",EXTERNAL OPTION,Creative presentations and themed menus.
CATERING,Nutri Gastro,nutrigastro.com,,,Corporate catering at scale,"Seminars, conferences, large events","$60-$100/person",EXTERNAL OPTION,Handles scale and complexity well.
CATERING,SF Catering Company,sfcateringcompany.com,,,"Full catering + rentals + bartenders + service staff",Large affairs with full support,"$70-$115/person + service fees",EXTERNAL OPTION,Carefully selected partner companies for tents and alcohol.
CATERING,Fork & Spoon Productions,forkandspoonproductions.com,,,Thoughtful event catering with attention to detail,Custom menus and presentations,Custom quote,EXTERNAL OPTION,Concept to clean-up full service.
CATERING,Corporate Caterers,corporatecaterers.com/location/corporate-caterers-san-francisco-bay-area-ca/,,,Office and corporate event catering,"12-20 to 100+ guests","Custom quote, typically $50-100/person",EXTERNAL OPTION,Multiple successful large events.
ADDITIONAL SERVICES,Event Coordinator,Various independent coordinators,,,"Day-of coordination, vendor management, timeline execution",Marine event experience preferred,"$2,000-$5,000",REQUIRED,Full-service event day coordination.
ADDITIONAL SERVICES,Security Services,Bay Area private security firms,,,"Event security, crowd management, ID checks",4 guards recommended for 400 guests,"$300-$500/guard ($1,200-$2,000 total)",REQUIRED,Licensed and experienced with large events.
ADDITIONAL SERVICES,Paramedic Standby,Medical event services SF Bay Area,,,On-site medical support for duration of event,Recommended for 400+ guests,"$500-$1,000",RECOMMENDED,Emergency medical response capability.
ADDITIONAL SERVICES,Event Insurance,Various insurance providers,,,Event liability coverage for 400 guests,Coverage for accidents and incidents,"$800-$1,500",REQUIRED,Protects against liability claims.
ADDITIONAL SERVICES,Photography/Videography,SF Bay Area event photographers,,,"Professional documentation, social media content",3-4 hour coverage,"$2,000-$4,000",RECOMMENDED,Captures content for marketing and memories.
ADDITIONAL SERVICES,Printing Services,Local print shops,,,"Boarding passes, clue cards, event materials",Custom printing for 400 guests,"$300-$600",REQUIRED,Physical materials for check-in and mystery.
